Idiom (EN)	Idiom (ES)	Ejemplo (EN)	Ejemplo (ES)	Semantic 	Syntactic	Notes
to ring a bell	me suena	The name rings a bell	Su nombre me suena	3	3	
to drive someone nuts	volverse loco 	A week on vacation with my relatives is enough to drive me nuts.	Una semana de vacaciones con mis parientes es suficiente para volverme loco.	2	3	
break a leg	mucha mierda	Break a leg!	Mucha mierda!	2	2	Significant cultural difference
spill the beans	destapar la olla	So who spilled the beans about her affair with David?	Entonces, ¿quién destapó la olla sobre su romance con David?	3	3	
bite the bullet	morder el polvo	Decisions have to be taken and as director you have got to bite the bullet	Hay decisiones que tomar y, como director, te tocará morder el polvo más de una vez.	1	2	In English, this means to endure something difficult, but in Spanish, it means 'to be defeated.'
burn bridges	quemar las naves	I burned that bridge when I quit my job.	Quemé las naves renunciando a mi trabajo.	3	3	
under the weather	estar pachucho	Jared won’t be coming in today because he’s feeling under the weather.	Jared no va a venir hoy porque está pachucho.	2	3	Significant cultural difference
hit the nail on the head	dar en el clavo	You've spotted the flaw, Sally. You hit the nail on the head.	Encontraste el error, Sally. Has dado en el clavo.	3	3	
it's like talking to a brick wall	como hablarle a una pared	I've tried to discuss my feelings with her, but it's like talking to a brick wall.	Quise hablar sobre mis sentimientos con ella, pero es como hablar con una pared.	3	3	
to give someone the creeps	dar escalofríos	The strange music was really giving him the creeps.	Esa música extraña me daba escalofríos.	2	3	
jump in the deep end	saltar al vacío	Our son jumped off the deep end and married a much older woman he just met two month's ago.	Nuestro hijo saltó al vacío y se casó con una mujer mayor que conoció hace dos meses.	3	3	
to be crystal clear	ser clarísimo	The evidence is now crystal clear.	La evidencia es clarísima.	2	2	Spanish doesn't seem to have an idiom to express the same idea.
to cut to the chase	ir directo al grano	I didn't have long to talk so I cut to the chase and asked whether he was still married.	No tuve mucho tiempo para hablar así que fui directo al grano y le pregunté si todavía estaba casado.	2	3	
to have bigger fish to fry	tener peces más grandes que pescar	The police and courts have bigger fish to fry	La policía y los tribunales tienen peces más grandes que pescar	2	3	
to throw somebody under the bus	echar a alguien por la borda	I'm not going to throw my friend under the bus for something he did 25 years ago.	No voy a echar por la borda a mi amigo por algo que hizo hace 25 años.	2	3	
to make up your mind	hacerse la idea	I haven't made up my mind where to go yet.	Después de ocho jornadas, uno puede hacerse una idea del equipo tipo que más le gusta al entrenador	1	2	In Spanish is more related to understanding something but in English is more related to deciding something. 
to cut someone some slack	dar un respiro	Because it was the last day of class, the teachers cut us some slack.	Como era el último día de clases, los profesores nos dieron un respiro.	2	3	
to sell like hotcakes	como pan caliente	The tickets to the school play are selling like hot cakes.	Las entradas para la obra de teatro del colegio se están vendiendo como pan caliente.	2	3	
cold turkey	de golpe	She had been trying to quit cold turkey without the support of a doctor.	Había estado tratando de dejarlo de golpe y sin el apoyo de un médico.	2	2	In Spanish there's no idiom for this idea.
out of the blue	de la nada	One day, out of the blue, she announced that she was leaving.	Un día, de la nada, anunció que se iba.	2	3	
to let your hair down	relájate y diviértete	Oh let your hair down for once!	¡Relajate y divertite por una vez!	2	1	There's no idiom in Spanish for this idea.
off the top of my head	sin pararme mucho a pensar	I don't know off the top of my head, but I could go and look it up.	Sin pararme mucho a pensar no lo sé, pero podría ir a buscarlo.	2	1	There's no idiom in Spanish for this idea.
off the cuff	improvisado	I hadn't prepared a speech so I just said a few words off the cuff.	No había preparado ningún discurso así que simplemente dije unas pocas palabras improvisadas.	2	2	There's no idiom in Spanish for this idea.
off the books	en negro	These workers are getting paid in cash off the books.	Los trabajadores están cobrando en negro.	2	3	
costs an arm and a leg	cuesta un ojo de la cara	The repair work cost an arm and a leg.	La reparación cuesta un ojo de la cara.	2	3	
call it a day	cortar aquí	I'm getting a bit tired now - let's call it a day.	Ya me estoy cansando un poco, cortémosla aquí.	1	2	In English seems to be more professional.
once in a blue moon	cada muerte de obispo	My sister lives in Alaska, so I only see her once in a blue moon.	Mi hermana vive en Alaska así que la veo cada muerte de obispo.	2	3	
a piece of cake	pan comido	The exam was a piece of cake.	El examen fue pan comido.	2	3	
cry over spilled milk	llorar sobre leche derramada	It's no use crying over spilled milk - he's spent all the money, and there's nothing you can do about it.	De nada sirve llorar sobre la leche derramada: ya gastó todo el dinero y no hay nada que puedas hacer al respecto.	3	3	
hit the sack	irse a la cama	I’ve got a busy day tomorrow, so I think I’ll hit the sack.	Mañana tengo un día muy ocupado, así que creo que me iré a la cama.	2	2	There's no idiom in Spanish for this idea.
come rain or shine	llueva o truene	Come rain or shine, I'll see you on Thursday.	Llueva o truene, te veo el jueves.	3	2	
better late than never	mejor tarde que nunca	Well, better late than never, but where on earth have our colleagues been all this time?	Bueno, más vale tarde que nunca, pero ¿dónde diablos han estado nuestros colegas todo este tiempo?	3	3	
a blessing in disguise	una bendición disfrazada	Losing that job was a blessing in disguise really.	Perder ese trabajo fue realmente una bendición disfrazada.	3	3	
a penny for your thoughts	un centavo por tus pensamientos	You haven't said very much – a penny for your thoughts.	No has dicho mucho: un centavo por tus pensamientos.	3	3	
cutting corners	tomar atajos	There were concerns that airport security staff under pressure might be tempted to cut corners.	Existía la preocupación de que el personal de seguridad del aeropuerto, bajo presión, pudiera verse tentado a tomar atajos.	2	3	There's no idiom in Spanish for this idea.
get out of hand	irse de las manos	Things got a little out of hand at the party and three windows were broken.	Las cosas se fueron un poco de las manos en la fiesta y se rompieron tres ventanas.	3	3	
